company,product,month,quantity,value
Mahavir Paper Trading Company,FSC MIX CR JK TUFFCOTE 300GSM 54.5X87.0/14.2KG 100S,2026-04,2598.6,183850.95
Mahavir Paper Trading Company,FSC MIX CR JK ULTIMA 380GSM-60X73.5/16.8KG-100SH,2026-04,2654.4,184825.87
Mahavir Paper Trading Company,FSC MIX CR JK-Endura-200GSM-99CMS,2026-04,1007.0,68677.4
Mahavir Paper Trading Company,FSC MIX CR JK-Endura-230GSM-70.50X87.0/28.2KG-200S,2026-04,10321.2,724961.09
Mahavir Paper Trading Company,FSC MIX CR JK-Endura-230GSM-70.50X87.0/28.2KG-200S,2026-05,8883.0,633890.88
Mahavir Paper Trading Company,FSC MIX CRE F1P_TUFF FRE (1PE) 300GSM 84.0X55.5/14K,2026-04,2380.0,204680.0
Mahavir Paper Trading Company,FSC MIX CREDIT JK ENDURA 200GSM 99.0CMS,2026-04,3070.0,209374.0
Mahavir Paper Trading Company,FSC MIX CREDIT JK ENDURA 200GSM 99.0X77.0/30.50 KGS,2026-04,5276.5,370621.36
Mahavir Paper Trading Company,FSC MIX CREDIT JK ULTIMA 290GSM-63.5X88/16.2KG-100S,2026-04,5135.4,347101.69
Mahavir Paper Trading Company,FSC MIX CREDIT JK ULTIMA 290GSM-63.5X89/16.4KG-100S,2026-06,9036.4,629204.53
Mahavir Paper Trading Company,FSC MIX CREDIT JK ULTIMA 380GSM-60X67/15.3KG-100SHT,2026-04,10602.9,716650.01
Mahavir Paper Trading Company,FSC Mix Credit JK TUFFCOTE 230 GSM- 65.70CMS,2026-06,87237.0,5797771.02
Mahavir Paper Trading Company,FSC Mix Credit JK TUFFCOTE 390 GSM_111CMS,2026-06,1086.0,73728.54
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-86CMS,2026-06,1845.0,121677.75
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-86X71.5/19.7KG100SHT,2026-06,6717.7,464327.42
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-90.5X71.5/20.7KG100SHT,2026-06,5713.2,394896.38
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-96CMS,2026-04,4779.0,311250.08999999997
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-96CMS,2026-05,1425.0,93978.75
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-96CMS,2026-06,4486.0,295851.7
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-96X72/22.1KG100SHT,2026-04,6696.3,462848.26
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-96X72/22.1KG100SHT,2026-05,2828.8,195526.66
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-320GSM-96X72/22.1KG100SHT,2026-06,10740.6,742390.27
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-340GSM-55.5X81.5/15.40KG100SHT,2026-06,1832.6,126669.31
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-340GSM-58X81.5/16.1KG-100SHT,2026-06,3590.3,248161.53000000003
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-340GSM-59X83.0/16.60KG100SHT,2026-06,6457.400000000001,446335.49
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-340GSM-65X88.5/19.6KG100SHT,2026-06,6624.8,457906.18
Mahavir Paper Trading Company,FSC-MIX-CR-JK-ENDURA-380GSM-79.5X66.0/19.9KG100SHT,2026-06,11522.1,796407.55
Mahavir Paper Trading Company,FSC-MIX-CR-JK-TUFFCOTE-190GSM-61X97/22.5KG-200SHT,2026-06,8910.0,620403.3
Mahavir Paper Trading Company,FSC-MIX-CREDITJK-ENDURA-380GSM-80CMS,2026-05,2324.0,153267.8
Mahavir Paper Trading Company,FSC-MIX-CREDITJK-ENDURA-380GSM-80CMS,2026-06,1671.0,110202.45
Mahavir Paper Trading Company,FSCMIX CREDITJK ENDURA 340 GSM-84CMS,2026-04,5556.0,366418.2
Mahavir Paper Trading Company,FSCMIX CREDITJK ENDURA 340 GSM-84CMS,2026-06,6510.0,429334.5
Mahavir Paper Trading Company,FSCMIX-C-JK-TUFF-FRE245GSM-75.5X60.5/22.4KG-100SHT,2026-04,21347.2,1835859.2
Mahavir Paper Trading Company,FSCMIX-C-JK-TUFF-FRE300GSM-75.5X60.5/13.7KG-100SHT,2026-04,15549.5,1337257.0
Mahavir Paper Trading Company,FSCMIX-C-JK-TUFF-FRE300GSM-78.0X77.0/18.0KG-100SHT,2026-04,18252.0,1569672.0
Mahavir Paper Trading Company,JK  TUFFCOTE 200 GSM-77.0X92.0-28.3KGS-200SHT,2026-04,6735.4,484140.55
Mahavir Paper Trading Company,JK  TUFFCOTE 200 GSM-77.0X92.0-28.3KGS-200SHT,2026-06,7018.4,504482.59
Mahavir Paper Trading Company,JK  TUFFCOTE 390GSM-102.5CMS,2026-04,3064.0,201548.56
Mahavir Paper Trading Company,JK  TUFFCOTE 390GSM-102.5CMS,2026-05,525.0,33820.5
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 130GSM-86CMS,2026-05,3285.4,303899.5
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 130GSM-86CMS,2026-06,10881.7,1006557.25
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 130GSM-90CMS,2026-05,9330.3,863052.75
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 130GSM-90CMS,2026-06,3961.0,366392.5
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 130GSM-94.5CMS,2026-05,6568.9,607623.25
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 130GSM-94.5CMS,2026-06,25488.100000000002,2357649.25
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 150GSM-84.20CMS,2026-05,24319.5,2249553.75
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 150GSM-91CMS,2026-04,23879.4,2208844.5
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 150GSM-91CMS,2026-05,11463.9,1060410.75
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 150GSM-91CMS,2026-06,7872.0,728160.0
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 150GSM-94.50CMS,2026-04,29289.8,2709306.5
Mahavir Paper Trading Company,JK ANTIFUNGAL ARSR 150GSM-94.50CMS,2026-05,25254.4,2336032.0
Mahavir Paper Trading Company,JK ENDURA 190GSM 102.0CMS,2026-04,1068.0,74033.76
Mahavir Paper Trading Company,JK ENDURA 190GSM 62.0CMS,2026-04,318.0,22043.76
Mahavir Paper Trading Company,JK ENDURA 190GSM 78.0CMS,2026-04,430.0,29807.6
Mahavir Paper Trading Company,JK ENDURA 190GSM 78.0CMS,2026-06,1211.0,83946.52
Mahavir Paper Trading Company,JK ENDURA 190GSM 99.0CMS,2026-05,3296.0,228478.72
Mahavir Paper Trading Company,JK ENDURA 230 GSM-110CMS,2026-04,2341.0,153140.46999999997
Mahavir Paper Trading Company,JK ENDURA 230 GSM-110CMS,2026-06,621.0,39688.11
Mahavir Paper Trading Company,JK ENDURA 230 GSM-70 CMS,2026-06,730.0,50603.6
Mahavir Paper Trading Company,JK ENDURA 230 GSM-75 CMS,2026-06,3468.0,228714.6
Mahavir Paper Trading Company,JK ENDURA 230 GSM-78 CMS,2026-05,1653.0,112734.6
Mahavir Paper Trading Company,JK ENDURA 250GSM 102.0CMS,2026-06,2067.0,143284.44
Mahavir Paper Trading Company,JK ENDURA 250GSM-104.0CMS,2026-05,3213.0,211897.35
Mahavir Paper Trading Company,JK ENDURA 250GSM-61.0CMS,2026-04,2438.0,159810.9
Mahavir Paper Trading Company,JK ENDURA 250GSM-61.0CMS,2026-06,303.0,19240.5
Mahavir Paper Trading Company,JK ENDURA 250GSM-73.0CMS,2026-05,3412.0,225021.4
Mahavir Paper Trading Company,JK ENDURA 250GSM-76.0CMS,2026-06,595.0,41245.4
Mahavir Paper Trading Company,JK ENDURA 290GSM-104CMS,2026-04,2687.0,177207.65
Mahavir Paper Trading Company,JK ENDURA 290GSM-104CMS,2026-05,551.0,35214.41
Mahavir Paper Trading Company,JK ENDURA 290GSM-104CMS,2026-06,2677.0,176548.15
Mahavir Paper Trading Company,JK ENDURA 290GSM-76.0X79.5/17.5KG-100SHT,2026-04,2607.5,180230.4
